DATE,PROJECT1,PROJECT2,SHORTS/REELS,INSTA/LINKEDIN POST,,,,,,,,,,,,,,
2/1/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
2/2/2024,,,,DUE,,,,,,,,,,,,,,
2/3/2024,,,,DUE,,,,,,,,,,,,,,
2/4/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/5/2024,,,,DUE,,,,,,,,,,,,,,DONE
2/6/2024,,,,DUE,,,,,,,,,,,,,,DUE
2/7/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/8/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
2/9/2024,,,,DUE,,,,,,,,,,,,,,
2/10/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/11/2024,,,,DUE,,,,,,,,,,,,,,
2/12/2024,,,,DUE,,,,,,,,,,,,,,
2/13/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/14/2024,,,,DUE,,,,,,,,,,,,,,
2/15/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
2/16/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/17/2024,,,,DUE,,,,,,,,,,,,,,
2/18/2024,,,,DUE,,,,,,,,,,,,,,
2/19/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/20/2024,,,,DUE,,,,,,,,,,,,,,
2/21/2024,,,,DUE,,,,,,,,,,,,,,
2/22/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
2/23/2024,,,,DUE,,,,,,,,,,,,,,
2/24/2024,,,,DUE,,,,,,,,,,,,,,
2/25/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/26/2024,,,,DUE,,,,,,,,,,,,,,
2/27/2024,,,,DUE,,,,,,,,,,,,,,
2/28/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/29/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
3/1/2024,,,,DUE,,,,,,,,,,,,,,
3/2/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/3/2024,,,,DUE,,,,,,,,,,,,,,
3/4/2024,,,,DUE,,,,,,,,,,,,,,
3/5/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/6/2024,,,,DUE,,,,,,,,,,,,,,
3/7/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
3/8/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/9/2024,,,,DUE,,,,,,,,,,,,,,
3/10/2024,,,,DUE,,,,,,,,,,,,,,
3/11/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/12/2024,,,,DUE,,,,,,,,,,,,,,
3/13/2024,,,,DUE,,,,,,,,,,,,,,
3/14/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
3/15/2024,,,,DUE,,,,,,,,,,,,,,
3/16/2024,,,,DUE,,,,,,,,,,,,,,
3/17/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/18/2024,,,,DUE,,,,,,,,,,,,,,
3/19/2024,,,,DUE,,,,,,,,,,,,,,
3/20/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/21/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
3/22/2024,,,,DUE,,,,,,,,,,,,,,
3/23/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/24/2024,,,,DUE,,,,,,,,,,,,,,
3/25/2024,,,,DUE,,,,,,,,,,,,,,
3/26/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/27/2024,,,,DUE,,,,,,,,,,,,,,
3/28/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
3/29/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/30/2024,,,,DUE,,,,,,,,,,,,,,
3/31/2024,,,,DUE,,,,,,,,,,,,,,
4/1/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/2/2024,,,,DUE,,,,,,,,,,,,,,
4/3/2024,,,,DUE,,,,,,,,,,,,,,
4/4/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
4/5/2024,,,,DUE,,,,,,,,,,,,,,
4/6/2024,,,,DUE,,,,,,,,,,,,,,
4/7/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/8/2024,,,,DUE,,,,,,,,,,,,,,
4/9/2024,,,,DUE,,,,,,,,,,,,,,
4/10/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/11/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
4/12/2024,,,,DUE,,,,,,,,,,,,,,
4/13/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/14/2024,,,,DUE,,,,,,,,,,,,,,
4/15/2024,,,,DUE,,,,,,,,,,,,,,
4/16/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/17/2024,,,,DUE,,,,,,,,,,,,,,
